ID,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
4XRnevXtwP5mteDm6BQ8Vt,0.638,0.362,282962,0.218,0.863,5,0.237,-12.092,0,0.032,74.417,4,0.0546
1yaBRUKRnHIEE732uqSbEG,0.917,0.442,183784,0.349,0.863,7,0.0944,-13.005,1,0.0458,175.984,4,0.105
6zfUrnC1lYROuexq7G7URx,0.24,0.671,217000,0.563,0.861,5,0.085,-12.793,1,0.0294,109.011,4,0.553
0tYuVSs2DqXhtXT4JzDWSt,0.708,0.0608,396067,0.157,0.855,10,0.123,-15.431,0,0.0488,60.374,3,0.0325
1ghlpxVfPbFH2jenrv9vVw,0.733,0.471,254347,0.411,0.853,2,0.28,-15.755,1,0.041,79.986,4,0.282
4mn71EfE5kDATeK1Ejdor0,0.787,0.56,174212,0.449,0.848,5,0.109,-10.301,0,0.0592,184.873,3,0.8
4UAJf6d48Q6dBzgbC5pjya,0.975,0.261,273493,0.279,0.838,6,0.156,-13.137,0,0.0462,87.478,3,0.0619
42gZM6AQ9BDMaTyTmMDVlN,0.859,0.142,255693,0.113,0.838,2,0.107,-25.362,0,0.0415,98.575,1,0.0697
1d0Ol4OODB5ioYsds2TtJC,0.0258,0.423,218443,0.756,0.835,11,0.253,-7.445,0,0.0612,166.96,4,0.552
20hsdn8oITBsuWNLhzr5eh,0.000636,0.597,285089,0.931,0.821,7,0.0593,-4.026,0,0.0329,128.031,4,0.267
7sP8u4b9LNwcwKx222KNcm,0.727,0.329,260245,0.268,0.816,0,0.166,-12.836,1,0.0371,119.666,4,0.147
47JNQBVdao4sBR39uW5GNs,0.0231,0.694,147001,0.551,0.816,5,0.0826,-14.809,1,0.0547,159.966,4,0.863
3IaDHisoQv2Iri6wj57jkZ,0.0144,0.604,168320,0.804,0.815,1,0.441,-6.448,1,0.0339,122.019,4,0.0334
0SpkyS1Q4MD8GaVcP5YjT4,0.0561,0.41,215150,0.48,0.814,9,0.0972,-9.417,0,0.0294,75.303,4,0.129
7fYfXPFRzAQ0ubAl9RQUTp,0.136,0.589,256173,0.447,0.805,8,0.0961,-6.913,1,0.0395,137.999,4,0.492
